"filename", "language", "JSON", "HTML", "JavaScript", "MS SQL", "JavaScript JSX", "PostCSS", "Markdown", "Dotenv", "XML", "comment", "blank", "total"
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\backend\admin-register-script.js", "JavaScript", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 7, 61
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\backend\app.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 15, 10, 55
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\backend\config.env", "Dotenv", 0, 0, 0, 0, 0, 0, 0, 9, 0, 5, 6, 20
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\backend\controllers\auth.js", "JavaScript", 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 32, 155
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\backend\controllers\mcq.js", "JavaScript", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 10, 57
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\backend\controllers\payment.js", "JavaScript", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 7, 60
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\backend\controllers\quiz.js", "JavaScript", 0, 0, 100, 0, 0, 0, 0, 0, 0, 12, 22, 134
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\backend\controllers\test.js", "JavaScript", 0, 0, 137, 0, 0, 0, 0, 0, 0, 11, 39, 187
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\backend\controllers\user.js", "JavaScript", 0, 0, 273, 0, 0, 0, 0, 0, 0, 9, 78, 360
"c:\Users\rayya\OneDrive - Higher Education Commission\Mdcatemy\MDCATemy\backend\database.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
